,List of Companies
243,FRUIT PASTILLES
244,JELLY TOTS
245,JUICY JELLIES
246,PICK & MIX
247,RANDOMS
248,TOOTY FROOTIES
249,SAHNE NUSS
250,SCORCHED ALMONDS
251,SENSAÇÃO
252,SMARTIES
253,SUFLAIR
254,SUBLIME
255,SUNDY
256,SUPER 8
257,SUSY
258,SVITOCH
259,SZERENCSI
260,TANGO
261,TANGO MINI GALLETAS
262,TEXAN BAR
263,TOFFEE CRISP
264,NESTLÉ TOLL HOUSE COOKIES
265,TRENCITO
266,TRIANGULO
267,TURTLES
268,WALNUT WHIP
269,WONKA CONFECTIONERY BRANDS
270,BOTTLE CAPS
271,DONUTZ
272,FIZZY JERKS
273,FRUITART CHEWS
274,FUN DIP
275,GOBSTOPPERS
276,LAFFY TAFFY
277,LIK-M-AID
278,NERDS
279,NERDS GUMBALLS
280,NERDS ROPE
281,OOMPAS
282,PIXY STIX
283,RAINBOW NERDS
284,RUNTS
285,SWEETARTS
286,SWEETARTS ROPE
287,SWEETARTS SHOCKERS
288,TART 'N' TINYS
289,THRILLS
290,WONKA BARS
291,WONKA XPLODERS
292,XXX MINTS
293,YORKIE
294,CHEF-MATE
295,DAVIGEL
296,MINOR'S
297,SANTA RICA
298,BUITONI
299,CALIFORNIA PIZZA KITCHEN
300,DELISSIO PIZZA
301,DIGIORNO PIZZA
302,HOT POCKETS
303,JACK'S PIZZA
304,LEAN CUISINE
305,LEAN POCKETS
306,PAPA GIUSEPPE
307,STOUFFER'S
308,SWEET EARTH FOODS
309,TOMBSTONE PIZZA
310,WAGNER PIZZA
311,ÅHUSGLASS
312,AINO
313,CAMY
314,D'ONOFRIO
315,?????
316,???TA
317,"NESTLÉ DIBS  CHOCOLATE-COVERED VANILLA ICE CREAM BITE SIZE FROZEN SNACKS CREATED BY NESTLÉ, THEY ARE PRODUCED BY NESTLE IN CONJUNCTION WITH DREYER'S ICE CREAM AND ARE MARKETED AS EDY'S IN THE MIDWEST AND EASTERN UNITED STATES."
318,DREYER'S
319,DRUMSTICK
320,ESKIMO
321,FRIGOR
322,FRISCO
323,FRONERI
324,HÄAGEN-DAZS
325,HJEM-IS
326,KIMO
327,KIMY
328,KOTIJÄÄTELÖ
329,MAXIBON
330,MAT KOOL
331,MIVVI
332,MOTTA
333,MÖVENPICK
334,NESTLÉ DRUMSTICK  THE ORIGINAL SUNDAE CONE
335,NESTLÉ ICE CREAM
336,NESTLÉ PRINCESSA
337,OREO FROZEN DESSERT SANDWICHES
338,OUTSHINE
339,PINGVIINI
340,PUSH-UP
341,REAL DAIRY
342,SAVORY
343,SCHÖLLER
344,SKINNY COW
345,SORBETES
346,TEMPTATIONS
347,UNDERGROUND IS
348,ZER0% FAT
349,BOOST
350,CARNATION INSTANT BREAKFAST
351,COMPLEAT
352,CRUCIAL
353,DIABETISOURCE
354,FIBERSOURCE
355,GARDEN OF LIFE
356,GLYTROL
357,IMPACT
358,ISOSOURCE
359,MERITENE
360,MODULEN
361,ATRIUM INNOVATIONS
362,DOUGLAS LABORATORIES
363,GENESTRA BRANDS
364,GARDEN OF LIFE
365,NOVASOURCE RENAL
366,NUTREN
367,OPTIFAST
368,OPTIFIBRE
369,PEPTAMEN
370,PURE ENCAPSULATIONS
371,RESORB
372,RESOURCE
373,SUSTAGEN
374,TROPHIC
375,WOBENZYM
376,ALFARE
377,BEBA
378,BONA
379,CERELAC
380,FARINHA LÁCTEA
381,FM 85
382,GERBER
383,GOOD START
384,GUIGOZ
385,LACTOGEN
386,NAN
387,NAN HA
388,NANSOY
389,NATURNES
390,NESLAC
391,NESTLÉ
392,NESTLÉ BEAR BRAND
393,NESTOGEN
394,NESTUM
395,NIDO
396,PILTTI
397,PRENAN
398,SMA
399,WYETH
400,NESTON
401,NESVITA
402,PRIA
403,SUPLIGEN
404,BAKERS
405,BETA
406,BONIO
407,BONNIE
408,CASTOR & POLLUX
409,CHEF MICHAEL'S CANINE CREATIONS
410,FELIX
411,FIDO
412,GO CAT
413,GOURMET
414,LILY'S KITCHEN
415,LUCKY DOG
416,MERRICK
417,MON PETIT
418,PETLIFE
419,PURINA
420,SUPERCOAT
421,TAILS .COM
422,TIDY CATS
423,TOTALCARE
424,WHOLE EARTH FARMS
425,WINALOT
426,THE FOLLOWING PRODUCTS ARE MANUFACTURED BY NESTLÉ PURINA.
427,ALPO
428,PURINA BEGGIN STRIPS
429,BUSY BONE
430,BENEFUL
431,CAT CHOW
432,DOG CHOW
433,FANCY FEAST
434,FRISKIES
435,MIGHTY DOG
436,PURINA
437,PURINA ONE
438,PURINA PRO PLAN
439,BUITONI
440,HERTA
441,KATIE'S PIZZA
442,TOLL HOUSE  REFRIGERATED COOKIE DOUGH
443,A MAGGI ADVERTISEMENT IN SENEGAL
444,CARPATHIA
445,CHEF
446,HAOJI
447,MAGGI
448,THOMY
449,TOTOLE
450,WINIARY
451,CARNATION
452,COFFEE-MATE
453,MILO
454,NESTLÉ OMEGA PLUS  A MILK PRODUCT
455,TENDRE NOIX
456,ACTI-V
457,ACTIPLUS
458,FRUIT SELECTION YOGURT
459,HIRZ
460,LONGA VIDA
461,MOLICO
462,MUNCH BUNCH
463,NESTLÉ RAITA
464,RAWAYTEE MAZA
465,SKI
466,SWEET N TASTY YOGURT
467,YELLY
